entry_date,exit_date,symbol,size,entry_price,exit_price,pnl
2019-12-02,2020-01-02,159941,143806,0.489,0.495,820.38
2019-12-02,2020-02-03,513100,116214,0.6051,0.6451,4604.97
2020-01-02,2020-02-03,518880,26708,3.371,3.51,3657.28
2020-01-02,2020-02-03,518800,26899,3.347,3.48,3522.48
2019-06-03,2020-03-02,512890,138980,0.5395,0.5522,1719.53
2019-11-01,2020-03-02,512750,67874,1.023,0.983,-2755.81
2020-01-02,2020-03-02,515300,85910,1.048,0.975,-6323.57
2020-02-03,2020-03-02,512390,83324,1.071,1.069,-220.14
2020-02-03,2020-03-02,512910,86894,1.027,1.049,1857.55
2019-03-01,2020-04-01,513500,82259,0.8802,0.8843,293.72
2019-10-08,2020-04-01,513520,96322,1.056,0.895,-15564.22
2019-10-08,2020-04-01,513000,96322,1.056,0.9,-15082.75
2020-02-03,2020-04-01,513030,83169,1.073,0.809,-22003.57
2019-10-08,2020-05-06,513800,96230,1.057,0.956,-9777.34
2020-04-01,2020-05-06,159980,99842,0.83,0.888,5739.38
2020-03-02,2020-06-01,513660,81572,1.265,1.1737,-7507.2
2020-03-02,2020-06-01,518880,29075,3.549,3.881,9588.09
2020-03-02,2020-06-01,518800,29331,3.518,3.85,9673.06
2020-03-02,2020-06-01,513600,40625,2.54,2.339,-8225.09
2020-03-02,2020-06-01,510900,87153,1.184,1.145,-3459.86
2020-05-06,2020-06-01,512390,61447,1.103,1.086,-1084.95
2020-04-01,2020-07-01,159985,81085,1.022,0.995,-2238.36
2020-06-01,2020-07-01,512950,125688,0.895,0.942,5838.07
2020-04-01,2020-08-03,512800,170162,0.487,0.5257,6533.57
2020-04-01,2020-08-03,515300,88630,0.935,1.042,9430.84
2020-05-06,2020-08-03,512750,70747,0.958,1.054,6749.01
2020-06-01,2020-08-03,512890,207165,0.543,0.6407,20166.45
2020-06-01,2020-08-03,515080,113627,0.99,1.198,23559.83
2020-06-01,2020-08-03,515150,128121,0.878,1.038,20425.72
2020-06-01,2020-08-03,510230,107175,1.0496,1.1989,15928.93
2020-07-01,2020-08-03,512910,58409,1.111,1.271,9303.7
2020-07-01,2020-08-03,510160,119727,0.542,0.62,9296.97
2020-06-01,2020-09-01,515450,121349,0.927,1.075,17886.77
2020-08-03,2020-09-01,518880,34514,4.212,4.149,-2260.95
2020-08-03,2020-10-09,518800,34778,4.18,3.93,-8779.11
2020-08-03,2020-11-02,159985,141416,1.028,1.119,12777.77
2020-08-03,2020-11-02,513800,140595,1.034,1.045,1458.86
2020-09-01,2020-11-02,513660,33270,1.259,1.1707,-2961.99
2020-08-03,2020-12-01,159980,140731,1.033,1.158,17498.87
2020-10-09,2020-12-01,513080,47311,0.997,1.108,5221.64
2020-08-03,2021-01-04,159981,170629,0.852,0.993,23964.25
2020-08-03,2021-01-04,513520,134982,1.077,1.269,25821.54
2020-08-03,2021-02-01,513000,133372,1.09,1.264,23112.54
2020-09-01,2021-02-01,513600,16890,2.48,2.65,2845.31
2020-11-02,2021-02-01,510880,28587,2.688,2.495,-5561.74
2020-12-01,2021-02-01,513660,59468,1.2665,1.3458,4669.21
2021-01-04,2021-02-01,510900,81227,1.161,1.218,4571.97
2021-02-01,2021-03-01,510130,21797,5.587,5.57,-443.51
2021-02-01,2021-03-01,518660,31846,3.824,3.655,-5453.43
2021-02-01,2021-03-01,518890,31598,3.854,3.68,-5569.47
2020-12-01,2021-04-01,515100,60788,1.239,1.31,4269.46
2021-01-04,2021-04-01,512040,127268,0.741,0.8073,8378.75
2021-02-01,2021-04-01,512260,92118,1.322,1.394,6557.44
2021-03-01,2021-04-01,513080,84232,1.143,1.2,4742.02
2021-03-01,2021-05-06,512890,143805,0.6695,0.7023,4657.62
2021-02-01,2021-06-01,513500,106256,1.1461,1.2878,14978.89
2021-03-01,2021-06-01,510810,105799,0.91,0.9,-1115.44
2021-04-01,2021-07-01,518890,30297,3.583,3.684,2993.95
2021-04-01,2021-07-01,518880,30683,3.538,3.61,2143.38
2021-04-01,2021-07-01,518800,31007,3.501,3.571,2104.71
2021-04-01,2021-07-01,518660,30390,3.572,3.655,2456.48
2021-05-06,2021-07-01,510880,27276,2.758,2.855,2599.84
2021-06-01,2021-07-01,513800,78835,1.153,1.168,1127.63
2021-07-01,2021-08-02,512040,161015,0.8328,0.7968,-5875.26
2021-07-01,2021-08-02,510500,17602,7.618,7.599,-414.79
2021-07-01,2021-08-02,512890,183038,0.7326,0.6954,-6887.43
2021-07-01,2021-08-02,512750,121903,1.1,1.008,-11292.17
2021-07-01,2021-08-02,510160,191017,0.702,0.675,-5236.37
2020-11-02,2021-09-01,515300,72975,1.053,1.11,4112.22
2020-11-02,2021-10-08,515450,73184,1.05,1.301,18317.57
2021-06-01,2021-10-08,512260,61792,1.471,1.664,11867.74
2021-07-01,2021-10-08,515100,98526,1.361,1.46,9670.69
2021-10-08,2021-12-01,513300,77208,1.223,1.31,6658.43
2021-10-08,2021-12-01,518860,25976,3.635,3.631,-160.53
2021-08-02,2022-01-04,513500,85942,1.3697,1.4708,8615.5
2021-09-01,2022-01-04,513030,53392,1.254,1.178,-4096.75
2021-10-08,2022-01-04,513080,72859,1.296,1.307,744.55
2022-01-04,2022-02-07,510810,107833,0.899,0.871,-3076.58
2022-01-04,2022-03-01,515300,81601,1.188,1.185,-302.89
2021-12-01,2022-04-01,515800,65719,1.303,1.135,-11088.86
2022-02-07,2022-04-01,518860,20328,3.8,3.876,1498.12
2022-02-07,2022-04-01,560500,77169,1.001,0.968,-2592.16
2021-12-01,2022-05-05,510180,21238,4.032,3.503,-11282.91
2022-01-04,2022-06-01,510130,15983,6.065,5.194,-13975.18
2022-04-01,2022-07-01,513800,89426,1.054,0.977,-6940.29
2022-04-01,2022-07-01,510160,130367,0.723,0.728,595.09
2021-08-02,2022-08-01,518890,31373,3.752,3.806,1623.01
2022-07-01,2022-08-01,513520,87154,0.977,1.057,6919.14
2022-08-01,2022-09-01,513800,85334,1.046,1.005,-3551.2
2022-09-01,2022-10-10,510810,101625,0.787,0.75,-3806.98
2022-10-10,2022-11-01,510180,23508,3.386,3.107,-6604.52
2022-07-01,2022-12-01,512750,77479,1.099,1.078,-1677.66
2022-05-05,2023-01-03,518860,18487,3.971,4.016,787.62
2022-06-01,2023-01-03,515450,63025,1.18,1.133,-3005.91
2022-04-01,2023-02-01,515300,78875,1.195,1.202,495.41
2022-08-01,2023-03-01,515100,59073,1.511,1.64,7564.58
2022-12-01,2023-03-01,159617,79790,0.995,1.064,5456.22
2021-08-02,2023-04-03,518880,31944,3.685,4.27,18611.01
2021-08-02,2023-04-03,518660,31282,3.763,4.271,15815.86
2023-03-01,2023-04-03,560500,92894,0.954,0.906,-4510.75
