entry_date,exit_date,symbol,size,entry_price,exit_price,pnl
2017-04-05,2019-01-02,512010,154665,0.3721,0.3458,-4101.0
2018-09-03,2019-02-01,510230,59528,1.167,1.0805,-5189.31
2019-01-02,2019-03-01,513600,24905,2.494,2.571,1879.84
2018-01-02,2019-04-01,513660,58359,1.4045,1.3217,-4879.85
2018-08-01,2019-04-01,513030,59851,1.146,0.982,-9853.77
2018-11-01,2019-04-01,510900,55722,1.132,1.222,4975.63
2019-04-01,2019-05-06,159939,146168,0.5243,0.457,-9880.14
2019-04-01,2019-06-03,512070,101693,0.7536,0.7019,-5301.93
2018-07-02,2019-07-01,159941,154608,0.394,0.424,4600.3
2019-06-03,2019-07-01,510160,115674,0.531,0.56,3316.69
2019-02-01,2019-08-01,510810,78901,0.79,0.965,13766.13
2019-07-01,2019-08-01,512070,85650,0.7975,0.7671,-2643.96
2018-06-01,2019-09-02,513100,146899,0.4584,0.5544,14057.67
2019-08-01,2019-09-02,510050,26520,2.595,2.564,-863.17
2019-07-01,2019-10-08,513600,25345,2.695,2.525,-4348.34
2018-04-02,2019-11-01,513500,87882,0.7822,1.0134,20270.98
2019-09-02,2019-11-01,512200,31604,2.2146,2.2929,2431.86
2019-08-01,2019-12-02,513030,67405,1.021,1.106,5686.41
2019-09-02,2019-12-02,510810,75912,0.922,0.89,-2470.45
2019-10-08,2019-12-02,159901,27282,2.2868,2.3505,1699.91
2019-11-01,2020-01-02,159939,140757,0.5136,0.5663,7372.29
2019-12-02,2020-01-02,512200,34744,2.2578,2.5332,9518.56
2019-12-02,2020-01-02,512010,164113,0.478,0.4954,2807.64
2018-08-01,2020-02-03,518800,25843,2.654,3.48,21298.76
2020-01-02,2020-02-03,510810,84984,0.939,0.802,-11687.2
2020-01-02,2020-02-03,513100,127516,0.6258,0.6451,2412.44
2019-03-01,2020-03-02,518880,22107,2.827,3.549,15918.97
2020-02-03,2020-03-02,510300,24662,3.239,3.457,5326.77
2018-10-08,2020-04-01,512800,128135,0.487,0.487,-37.44
2019-04-01,2020-04-01,159905,42223,1.815,1.754,-2620.81
2020-03-02,2020-04-01,510660,35710,2.024,2.085,2134.29
2020-03-02,2020-05-06,513100,107974,0.6694,0.7286,6346.78
2020-04-01,2020-05-06,513030,97530,0.809,0.88,6875.21
2020-02-03,2020-06-01,512010,152794,0.5228,0.5664,6611.89
2020-04-01,2020-06-01,510160,149435,0.528,0.524,-644.9
2020-05-06,2020-07-01,512800,142600,0.5026,0.4981,-684.51
2020-06-01,2020-07-01,513100,100151,0.737,0.7448,736.66
2020-01-02,2020-08-03,159941,161212,0.495,0.592,15584.99
2020-06-01,2020-08-03,510900,64464,1.145,1.169,1502.39
